"all_names","ancestral_node","divergence_date","branch_duration","origination_rate_at_birth","fa","la","is_ancestor"
"C0",4,7.51963077844725,0.257614572718297,2.57691472072854,7.26201620572895,6.85872288539206,1
"D0",3,7.51219546134257,1.31399469922642,2.57691472072854,6.19820076211615,5.01044030606878,1
"F0",10,7.08921193017763,0.795614539035958,2.47247205736094,6.29359739114167,5.89806111169211,1
"H0",2,6.83404603512631,0.00759513777462928,2.43508452528932,6.82645089735168,2.64507348557926,1
"J0",9,6.80670075899129,0.043278596472911,2.43508452528932,6.76342216251838,6.76342216251838,1
"P0",17,6.72993678516381,0.48091877882412,2.35583515363518,6.24901800633969,3.6026968027388,1
"Q0",8,6.59375210169841,0.25232432851549,2.07158361628019,6.34142777318292,6.17513984585208,1
"R0",18,6.68319735509016,0.80777865566946,2.07158361628019,5.8754186994207,5.8754186994207,1
"T0",16,6.57643439986882,1.10153439973725,2.17557332980424,5.47490000013157,3.71345630143155,1
"V0",18,6.53731174294975,0.328618110262471,2.17557332980424,6.20869363268728,6.20869363268728,0
"W0",15,6.40997650332887,1.10695353233563,1.95551144502744,5.30302297099324,5.30302297099324,1
"Z0",16,6.32488774476246,0.69535509755848,2.07158361628019,5.62953264720398,5.62953264720398,0
"F1",23,5.98140769759797,0.54673711637628,1.89199803930511,5.43467058122169,4.86449444247407,1
"H1",21,5.77470215787784,0.4426841632483,1.82417544296635,5.33201799462954,5.33201799462954,1
"J1",22,5.7350880148881,0.00253676351085996,1.82417544296635,5.73255125137724,5.53942570125302,0
"M1",13,5.55756739795346,0.32636956031728,1.58778666490212,5.23119783763618,5.23119783763618,1
"P1",8,6.17513984585208,0.84352844760116,1.95551144502744,5.33161139825092,5.33161139825092,0
"S1",22,5.75494272688542,0.96161698449145,1.82417544296635,4.79332574239397,4.79332574239397,0
"V1",7,5.41892265731607,1.35366500352588,1,4.06525765379019,3.89715245574462,1
"Y1",21,5.35616731620998,0.04639574939781,1.14842000511827,5.30977156681217,5.30977156681217,0
"Z1",6,5.21099047707998,0.17122944431301,1.27763173659828,5.03976103276697,5.03976103276697,1
"B2",20,5.20954629877255,0.124402257021579,1.27763173659828,5.08514404175097,0.65281215064742,1
"C2",23,5.30962661847611,0.44699718880777,1.14842000511827,4.86262942966834,4.86262942966834,0
"H2",14,5.11660066841309,0.22575487467797,0.825646612855222,4.89084579373512,4.89084579373512,0
"I2",5,5.07490032211084,0.0984960294070305,0.614337519188015,4.97640429270381,1.76574704962792,1
"J2",13,5.23119783763618,1.0397260624168,1.27763173659828,4.19147177521938,4.19147177521938,0
"N2",12,4.76228445058827,0.30192587090876,0.825646612855222,4.46035857967951,4.46035857967951,1
"U2",6,5.03976103276697,1.24414478774655,0.614337519188015,3.79561624502042,3.38684294416487,0
"X2",5,4.46146393251278,0.46215427764891,0.346073532593335,3.99930965486387,3.99930965486387,0
"Y2",17,4.5790449814,0.16539362959884,0.825646612855222,4.41365135180116,4.18264560040197,0
"A3",7,4.11508281978917,0.12464496752111,1,3.99043785226806,3.99043785226806,0
"E3",2,3.91829134422027,0.83478097446891,1,3.08351036975136,0,0
"F3",19,3.97998832888574,0.07890610018692,1,3.90108222869882,2.89472182776044,1
"G3",11,3.88534830138691,0.11999643941729,1.27763173659828,3.76535186196962,3.76535186196962,1
"H3",23,4.86449444247407,1.40331813815532,0.346073532593335,3.46117630431875,1.9371616896503,0
"L3",20,4.57452617693365,1.49903317283864,0.825646612855222,3.07549300409501,3.07549300409501,0
"N3",23,4.86449444247407,1.52187123325991,0.346073532593335,3.34262320921416,2.33156974648425,0
"O3",12,4.46035857967951,1.30905328847419,0.346073532593335,3.15130529120532,3.15130529120532,0
"Q3",12,4.46035857967951,0.85076591930128,0.346073532593335,3.60959266037823,3.60959266037823,0
"R3",19,3.65790518993184,0.57061935247003,0.825646612855222,3.08728583746181,1.28728452936576,0
"S3",11,3.76535186196962,1.25421200673707,0.614337519188015,2.51113985523255,2.51113985523255,0
"node_01",0,7.88840665347547,1.05436061834916,2.57691472072854,0,0,0
"node_02",1,6.83404603512631,2.91575469090604,2.43508452528932,0,0,0
"node_03",1,7.51219546134257,2.43729513923172,2.57691472072854,0,0,0
"node_04",1,7.51963077844725,0.712930019455957,2.57691472072854,0,0,0
"node_05",3,5.07490032211084,0.613436389598061,0.614337519188015,0,0,0
"node_06",3,5.21099047707998,0.44870602649171,1.27763173659828,0,0,0
"node_07",2,5.5979586286065,1.48287580881733,1.67294447324243,0,0,0
"node_08",3,6.59375210169841,2.7084038003115,2.07158361628019,0,0,0
"node_09",4,6.80670075899129,0.230266359122471,2.43508452528932,0,0,0
"node_10",3,7.25058528134272,1.69301788338926,2.50851199384414,0,0,0
"node_11",8,3.88534830138691,0.11999643941729,1.27763173659828,0,0,0
"node_12",6,4.76228445058827,0.78229612170253,0.825646612855222,0,0,0
"node_13",10,5.55756739795346,0.32636956031728,1.58778666490212,0,0,0
"node_14",8,5.5678834647932,0.451282796380109,1.58778666490212,0,0,0
"node_15",10,6.57448138248314,0.7997792246053,2.17557332980424,0,0,0
"node_16",9,6.57643439986882,0.25154665510636,2.17557332980424,0,0,0
"node_17",9,6.72993678516381,2.15089180376381,2.35583515363518,0,0,0
"node_18",9,6.7572418343569,0.21993009140715,2.35583515363518,0,0,0
"node_19",12,3.97998832888574,0.322083138953901,1,0,0,0
"node_20",14,5.20954629877255,0.635020121838899,1.27763173659828,0,0,0
"node_21",15,5.77470215787784,0.41853484166786,1.82417544296635,0,0,0
"node_22",17,6.3472059785216,0.612117963633501,2.07158361628019,0,0,0
"node_23",17,6.5088802557499,1.64438581327583,2.17557332980424,0,0,0
